teff,logg,Y,f_rain,kzz,FeH,CO,f_hole
200,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
200,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
200,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
200,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
200,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
200,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
225,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
225,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
225,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
225,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
225,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
250,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
250,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
250,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
275,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
275,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
275,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
275,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
300,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
300,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
300,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
300,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
325,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
325,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
325,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
325,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
325,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
325,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
325,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
350,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
350,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
350,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
375,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
375,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
375,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
375,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
400,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
400,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
